timestamp,elapsed_time_s,wall_time,avg_concurrent_gpus,gpu_util_ratio,gpu_efficiency,avg_stage_util,max_stage_util,trial_throughput,pipeline_speedup,speedup_efficiency,num_completed_tasks
2026-05-02T14:16:49.125176,15.96,9.25,1.95,1.9474,1.9826,1.9826,1.9826,12.6582,2.0002,1.0001,2
2026-05-02T14:16:59.127458,27.55,20.84,2.36,2.3571,2.3717,2.0541,2.3639,1.0969,3.0000,1.0000,6
2026-05-02T14:17:09.129674,37.63,30.92,2.52,2.5227,2.3859,2.0027,2.3639,0.3906,3.0000,1.0000,9
2026-05-02T14:17:19.130998,37.63,30.92,2.52,2.5227,2.3859,2.0027,2.3639,0.3906,3.0000,1.0000,9
2026-05-02T14:17:29.136288,54.87,48.16,1.90,1.9016,2.2147,1.7988,2.3639,0.3906,4.5183,1.5061,12
2026-05-02T14:17:39.141651,67.05,60.34,2.27,2.2712,2.3318,1.0092,1.1327,0.1348,2.8447,0.9482,17
2026-05-02T14:17:49.145196,73.00,66.28,2.14,2.1364,2.2595,1.0368,1.1327,0.1394,2.9999,1.0000,18
2026-05-02T14:17:59.151261,84.04,77.33,1.61,1.6078,2.2040,0.9835,1.0428,0.1394,3.4360,1.1453,21
2026-05-02T14:18:09.156818,97.25,90.53,2.29,2.2857,2.2766,0.9018,0.9727,0.1189,2.8895,0.9632,26
2026-05-02T14:18:19.159471,102.92,96.21,1.85,1.8500,2.2359,0.9213,0.9727,0.1233,2.9999,1.0000,27
2026-05-02T14:18:29.166641,113.85,110.92,1.99,1.9865,2.0652,0.7788,0.8033,0.1430,2.8457,0.9486,36
2026-05-02T14:18:39.172490,113.85,110.92,2.89,2.8919,2.1366,0.7902,0.8401,0.1430,2.8457,0.9486,37
2026-05-02T14:18:49.179121,113.85,110.92,2.91,2.9054,2.4646,0.8923,1.0227,0.1430,3.2380,1.0793,41
2026-05-02T14:18:59.185111,113.85,110.92,1.42,1.4155,2.6070,0.9484,1.0227,0.1647,3.2380,1.0793,43
2026-05-02T14:19:09.189886,113.85,110.92,1.42,1.4155,2.7789,1.0108,1.1147,0.1647,3.7539,1.2513,44
2026-05-02T14:19:19.195417,113.85,110.92,1.42,1.4155,2.7789,1.0108,1.1147,0.1647,3.7539,1.2513,44
2026-05-02T14:19:29.200313,113.85,110.92,1.65,1.6489,2.9682,1.0853,1.1185,0.1765,4.3215,1.4405,45
2026-05-02T14:19:39.205084,113.85,110.92,1.21,1.2124,3.1576,1.1514,1.1868,0.1765,4.3215,1.4405,48
2026-05-02T14:19:49.211868,113.85,110.92,1.75,1.7527,3.5122,1.2801,1.3344,0.2000,4.8643,1.6214,52
2026-05-02T14:19:59.215214,113.85,110.92,1.75,1.7527,3.5122,1.2801,1.3344,0.2000,4.8643,1.6214,52
2026-05-02T14:20:09.218516,113.85,110.92,2.00,2.0000,3.6903,1.3447,1.4352,0.2000,5.3986,1.7995,53
2026-05-02T14:20:19.221645,113.85,110.92,2.00,2.0000,3.6903,1.3447,1.4352,0.2000,5.3986,1.7995,53
2026-05-02T14:20:29.225087,122.50,119.57,1.26,1.2621,3.6338,1.3764,1.4352,0.2068,5.7941,1.9314,55
2026-05-02T14:20:39.232759,133.74,130.82,1.10,1.1043,3.5672,1.3511,1.4312,0.2068,6.2681,2.0894,58
