timestamp,elapsed_time_s,wall_time,avg_concurrent_gpus,gpu_util_ratio,gpu_efficiency,avg_stage_util,max_stage_util,trial_throughput,pipeline_speedup,speedup_efficiency,num_completed_tasks
2026-05-02T12:14:45.343323,26.77,16.97,2.18,2.1765,2.2168,1.4226,1.8452,0.0000,0.9991,0.9991,4
2026-05-02T12:14:55.346879,36.23,26.44,2.11,2.1132,2.1304,1.3010,1.8452,0.0000,0.9994,0.9994,6
2026-05-02T12:15:05.348923,45.45,35.65,2.25,2.2500,2.2681,1.4919,1.8452,0.1911,1.4120,0.7060,8
2026-05-02T12:15:15.351224,52.99,43.19,2.10,2.1014,2.2050,1.5853,1.8452,0.1666,1.7481,0.5827,9
2026-05-02T12:15:25.354562,59.78,49.99,1.77,1.7703,2.0412,1.2117,1.6976,0.1666,2.2200,0.7400,10
2026-05-02T12:15:35.360543,73.48,63.69,2.07,2.0667,2.3420,1.0600,1.2131,0.1666,3.1463,1.0488,13
2026-05-02T12:15:45.364343,82.03,72.23,1.92,1.9195,2.2776,0.9021,1.0992,0.0890,2.2286,0.7429,15
2026-05-02T12:15:55.367440,90.35,80.55,2.48,2.4800,2.3421,0.9524,1.0992,0.0903,1.9409,0.6470,17
2026-05-02T12:16:05.373343,102.24,92.44,1.88,1.8824,2.1851,0.9725,1.0992,0.0892,1.6913,0.5638,18
2026-05-02T12:16:15.378523,117.67,107.88,1.67,1.6667,2.2259,0.8443,0.9280,0.0892,2.1849,0.7283,22
2026-05-02T12:16:25.389226,125.56,115.77,1.81,1.8108,2.2057,0.8138,0.9280,0.0786,1.9407,0.6469,24
2026-05-02T12:16:35.392834,125.56,115.77,1.81,1.8108,2.2057,0.8138,0.9280,0.0786,1.9407,0.6469,24
2026-05-02T12:16:45.396954,140.28,130.48,2.31,2.3117,2.2294,0.8524,0.9280,0.0760,1.6994,0.5665,26
2026-05-02T12:16:55.403139,157.49,147.70,0.75,0.7500,2.1149,0.7546,0.8124,0.0825,1.6131,0.5377,34
2026-05-02T12:17:05.408464,159.17,155.79,1.99,1.9872,2.0224,0.7458,0.8124,0.0966,1.5155,0.5052,36
2026-05-02T12:17:15.413013,159.17,155.79,2.92,2.9167,2.1615,0.7796,0.8280,0.0966,1.6656,0.5552,39
2026-05-02T12:17:25.420827,159.17,155.79,2.10,2.0994,2.3746,0.8452,0.9476,0.0991,1.9899,0.6633,43
2026-05-02T12:17:35.423809,159.17,155.79,2.33,2.3333,2.5064,0.8946,0.9476,0.1144,1.9899,0.6633,45
2026-05-02T12:17:45.431136,159.17,155.79,1.66,1.6607,2.6263,0.9355,0.9509,0.1144,2.1190,0.7063,48
2026-05-02T12:17:55.438799,159.17,155.79,2.48,2.4762,2.8398,1.0130,1.0845,0.1296,2.3863,0.7954,53
2026-05-02T12:18:05.446212,159.17,155.79,2.05,2.0513,2.9668,1.0576,1.0845,0.1373,2.5181,0.8394,56
2026-05-02T12:18:15.451283,159.17,155.79,1.90,1.9048,3.0969,1.1033,1.1862,0.1373,2.6526,0.8842,59
2026-05-02T12:18:25.458762,159.17,155.79,2.02,2.0244,3.2805,1.1708,1.2333,0.1601,2.8292,0.9431,64
2026-05-02T12:18:35.463318,159.17,155.79,1.46,1.4583,3.3727,1.2039,1.2965,0.1754,2.8862,0.9621,71
2026-05-02T12:18:45.470471,159.17,155.79,1.93,1.9323,3.3825,1.2076,1.2965,0.1830,2.8862,0.9621,72
2026-05-02T12:18:55.480803,159.17,155.79,2.78,2.7812,3.5555,1.2519,1.3318,0.1830,3.0538,1.0179,76
2026-05-02T12:19:05.486572,159.17,155.79,1.44,1.4375,3.7566,1.3237,1.4532,0.1918,3.2601,1.0867,80
2026-05-02T12:19:15.490872,159.17,155.79,1.79,1.7925,3.8577,1.3597,1.4532,0.1992,3.4572,1.1524,82
2026-05-02T12:19:25.501291,159.17,155.79,1.56,1.5556,4.0238,1.4172,1.5370,0.1992,3.6185,1.2062,86
2026-05-02T12:19:35.505492,159.17,155.79,2.50,2.5000,4.1118,1.4486,1.5930,0.2066,3.7781,1.2594,88
2026-05-02T12:19:45.515395,159.17,155.79,1.85,1.8491,4.2998,1.5163,1.5930,0.2213,4.0198,1.3399,91
2026-05-02T12:19:55.526471,159.17,155.79,2.54,2.5429,4.5511,1.6043,1.7351,0.2287,4.3317,1.4439,97
2026-05-02T12:20:05.535741,159.17,155.79,1.77,1.7727,4.6543,1.6416,1.7351,0.2434,4.5349,1.5116,100
